Sex,Age,Height,Weight,Sport
F,23.0,173.0,61.0,Athletics
M,22.0,166.0,58.0,Athletics
M,24.0,192.0,68.0,Athletics
M,19.0,181.0,78.0,Athletics
M,19.0,181.0,78.0,Athletics
F,30.0,170.0,60.0,Athletics
M,27.0,181.0,78.0,Athletics
M,23.0,187.0,75.0,Football
M,24.0,173.0,66.0,Athletics
F,21.0,159.0,40.0,Athletics
F,21.0,159.0,40.0,Athletics
F,25.0,159.0,40.0,Athletics
F,25.0,159.0,40.0,Athletics
M,22.0,179.0,72.0,Football
F,27.0,160.0,78.0,Judo
M,19.0,169.0,62.0,Athletics
F,24.0,173.0,53.0,Athletics
F,27.0,168.0,60.0,Football
F,31.0,168.0,60.0,Football
F,24.0,159.0,54.0,Athletics
F,26.0,164.0,58.0,Athletics
M,19.0,182.0,68.0,Athletics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,19.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,24.0,161.0,62.0,Gymnastics
M,20.0,176.0,70.0,Football
F,17.0,170.0,53.0,Athletics
M,26.0,175.0,61.0,Athletics
M,26.0,175.0,61.0,Athletics
M,25.0,168.0,59.0,Athletics
M,29.0,205.0,102.0,Basketball
M,30.0,182.0,79.0,Athletics
M,20.0,171.0,65.0,Football
M,21.0,190.0,65.0,Athletics
M,25.0,190.0,65.0,Athletics
M,23.0,175.0,75.0,Athletics
M,31.0,180.0,64.0,Athletics
M,26.0,178.0,81.0,Judo
M,33.0,182.0,77.0,Football
M,22.0,193.0,78.0,Athletics
M,25.0,186.0,84.0,Athletics
